P1, WRITE, R1, 0
P2, READ, R1, 0
P3, WRITE, R1, 1
P4, READ, R1, 1
P5, WRITE, R2, 1
P6, READ, R2, 1
P7, WRITE, R2, 2
P8, READ, R1, 2
P9, WRITE, R3, 2
P10, READ, R3, 2
P11, WRITE, R1, 3
P12, READ, R2, 3
P13, WRITE, R3, 3
P14, READ, R3, 3
P15, WRITE, R1, 4
P16, READ, R1, 4
P17, WRITE, R2, 4
P18, READ, R2, 4
P19, WRITE, R3, 5
P20, READ, R3, 5
P21, WRITE, R1, 5
P22, READ, R2, 5
P23, WRITE, R2, 6
P24, READ, R1, 6
P25, WRITE, R3, 6
P26, READ, R3, 6
P27, WRITE, R1, 7
P28, READ, R2, 7
P29, WRITE, R2, 7
P30, READ, R1, 7
P31, WRITE, R3, 8
P32, READ, R3, 8
